EmpID,Age,AgeGroup,Attrition,EmploymentStatus,BusinessTravel,DailyRate,Department,DistanceFromHome(KM),Education,EducationLevel,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,SalarySlabOrder,HourlyRate,NumCompaniesWorked,Over18,OverTime,OvertimeHoursMonthly,SalaryHike %,PerformanceRating,RelationshipSatisfaction,StandardWorkingHours,StockOptionLevel,TotalExperience(Years),TrainingsLastYear,TrainingHours,WorkLifeBalance,YearsatCompany,YearsinCurrentRole,YearsSincePromotion,YearsWithCurrManager,HireDate,ExitDate,OfficeLocation,WorkMode,EmploymentType,EngagementScore,AbsenceDays,ManagerRating,AnnualBonus,RecruitmentSource,LastPromotionDate,PromotionStatus,ExitReason,SnapshotDate
NX00001,42,36-45,No,Active,Travel_Rarely,11181.82,Product,5,5,Doctorate,Business,1,10001,3,Female,3,4,Senior Product Manager,4,Married,246000,25+ LPA,6,1397.73,5,Y,Yes,15,11,3,3,160,2,18,2,27,3,5,2,5,3,2020-06-17,,Bengaluru,Remote,Full-time,62,19,3,413000,LinkedIn,2021-01-12,Promoted,,2026-05-31
NX00002,39,36-45,No,Active,Travel_Rarely,6954.55,Engineering,14,4,Master's,Computer Science,1,10002,5,Male,3,3,DevOps Engineer,3,Married,153000,18-25 LPA,5,869.32,3,Y,No,3,13,4,4,160,2,17,2,17,3,2,0,1,2,2023-10-26,,Bengaluru,Hybrid,Full-time,69,5,2,220000,LinkedIn,2024-07-22,Promoted,,2026-05-31
NX00003,31,26-35,No,Active,Non-Travel,3750.0,Sales,3,2,Diploma,Marketing,1,10003,4,Female,4,2,Account Manager,5,Married,82500,8-12 LPA,3,468.75,2,Y,Yes,18,18,4,4,160,0,6,3,33,4,4,2,4,2,2021-08-08,,Hyderabad,On-site,Full-time,86,10,4,89000,Employee Referral,2021-08-24,Promoted,,2026-05-31
NX00004,30,26-35,No,Active,Non-Travel,3204.55,Sales,4,2,Diploma,Commerce,1,10004,4,Male,5,2,Account Manager,4,Divorced,70500,8-12 LPA,3,400.57,6,Y,Yes,33,11,3,3,160,0,9,4,28,4,1,0,1,0,2025-04-06,,Hyderabad,Remote,Full-time,80,8,3,59000,LinkedIn,,Not Yet Promoted,,2026-05-31
NX00005,29,26-35,No,Active,Travel_Frequently,2863.64,Customer Success,24,3,Bachelor's,Commerce,1,10005,4,Male,4,2,Customer Success Executive,3,Single,63000,5-8 LPA,2,357.95,4,Y,Yes,29,15,3,4,160,1,7,3,32,5,3,1,2,2,2023-02-19,,Gurugram,On-site,Full-time,75,6,3,53000,LinkedIn,2023-09-01,Promoted,,2026-05-31
NX00006,33,26-35,No,Active,Travel_Frequently,4454.55,Sales,9,2,Diploma,Marketing,1,10006,5,Male,3,3,Senior Account Manager,4,Married,98000,8-12 LPA,3,556.82,3,Y,Yes,41,17,5,1,160,2,9,2,17,3,8,5,0,3,2018-02-08,,Jaipur,Hybrid,Full-time,74,1,5,165000,Company Careers Page,2026-03-12,Promoted,,2026-05-31
NX00007,44,36-45,No,Active,Non-Travel,8256.82,Operations,22,3,Bachelor's,Engineering,1,10007,5,Male,3,4,Operations Manager,2,Married,181650,18-25 LPA,5,1032.1,4,Y,No,0,13,3,4,160,0,22,4,30,4,2,1,0,2,2023-12-24,,Gurugram,Hybrid,Contract,79,4,4,305000,LinkedIn,2026-03-24,Promoted,,2026-05-31
NX00008,31,26-35,No,Active,Travel_Rarely,3386.36,Marketing,1,3,Bachelor's,Business,1,10008,3,Male,4,2,Content Strategist,4,Married,74500,8-12 LPA,3,423.3,2,Y,No,0,10,2,4,160,1,9,3,29,4,1,1,1,1,2024-11-18,,Gurugram,Remote,Full-time,74,1,2,45000,Campus Hiring,2024-12-22,Promoted,,2026-05-31
NX00009,38,36-45,No,Active,Non-Travel,6590.91,Sales,8,4,Master's,Marketing,1,10009,3,Female,5,3,Account Manager,3,Married,145000,12-18 LPA,4,823.86,3,Y,No,8,13,4,5,160,1,14,2,13,3,3,1,1,2,2022-07-05,,Hyderabad,On-site,Full-time,67,6,3,209000,Campus Hiring,2024-07-20,Promoted,,2026-05-31
NX00010,30,26-35,No,Active,Travel_Frequently,3636.36,Marketing,30,5,Doctorate,Marketing,1,10010,1,Female,3,2,Digital Marketing Specialist,5,Single,80000,8-12 LPA,3,454.55,2,Y,No,0,14,4,3,160,1,8,3,24,5,2,0,2,2,2023-11-12,,Pune,Remote,Full-time,78,2,3,86000,Employee Referral,2023-12-06,Promoted,,2026-05-31
